Number,Time,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
1,3:55.36,Sam Ellis,20 Oct 1998,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1190,1
2,3:55.50,Elliott COOK,22 Feb 2002,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1188,1
3,3:56.09,Aidan MCCARTHY,01 Sep 2002,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1181,1
4,3:56.67,Parker SCHNEIDER,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1173,1
5,3:57.75,Sair SALGADO,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1159,1
6,3:59.05,Rory LINKLETTER,12 Aug 1996,CAN,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1142,1
7,3:59.41,Carson SMITH,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",02 Dec 2023,1137,1
